"Time","pulse","spikes","value"
2023-07-22 12:06:00.000,0,59,50
2023-07-22 12:05:50.000,0,59,50
2023-07-22 12:05:40.000,0,59,50
2023-07-22 12:05:30.000,0,59,50
2023-07-22 12:05:20.000,0,59,50
2023-07-22 12:05:10.000,0,59,50
2023-07-22 12:05:00.000,0,59,50
2023-07-22 12:04:50.000,0,59,50
2023-07-22 12:04:40.000,0,59,50
2023-07-22 12:04:30.000,0,59,50
2023-07-22 12:04:20.000,0,59,50
2023-07-22 12:04:10.000,0,59,50
2023-07-22 12:04:00.000,0,59,50
2023-07-22 12:03:50.000,0,59,50
2023-07-22 12:03:40.000,0,59,50
2023-07-22 12:03:30.000,1,59,50.1
2023-07-22 12:03:20.000,0,57,50
2023-07-22 12:03:10.000,1,56,50.1
2023-07-22 12:03:00.000,0,55,50
2023-07-22 12:02:50.000,1,54,50.1
2023-07-22 12:02:40.000,0,53,50
2023-07-22 12:02:30.000,1,52,50.1
2023-07-22 12:02:20.000,0,51,50
2023-07-22 12:02:10.000,0,51,50
2023-07-22 12:02:00.000,0,51,50
2023-07-22 12:01:50.000,0,50,50
2023-07-22 12:01:40.000,0,50,50
2023-07-22 12:01:30.000,0,49,50
2023-07-22 12:01:20.000,0,47,50
2023-07-22 12:01:10.000,0,47,50
2023-07-22 12:01:00.000,0,47,50
2023-07-22 12:00:50.000,0,47,50
2023-07-22 12:00:40.000,0,47,50
2023-07-22 12:00:30.000,0,47,50
2023-07-22 12:00:20.000,0,47,50
2023-07-22 12:00:10.000,0,47,50
2023-07-22 12:00:00.000,0,47,50
2023-07-22 11:59:50.000,0,47,50
2023-07-22 11:59:40.000,0,47,50
2023-07-22 11:59:30.000,0,47,50
2023-07-22 11:59:20.000,0,47,50
2023-07-22 11:59:10.000,0,47,50
2023-07-22 11:59:00.000,0,47,50
2023-07-22 11:58:50.000,0,47,50
2023-07-22 11:58:40.000,0,46,50
2023-07-22 11:58:30.000,1,46,49.9
2023-07-22 11:58:20.000,0,45,50
2023-07-22 11:58:10.000,0,45,50
2023-07-22 11:58:00.000,0,45,50
2023-07-22 11:57:50.000,0,45,50
2023-07-22 11:57:40.000,0,45,50
2023-07-22 11:57:30.000,0,45,50
2023-07-22 11:57:20.000,0,45,50
2023-07-22 11:57:10.000,0,45,50
2023-07-22 11:57:00.000,0,45,50
2023-07-22 11:56:50.000,0,45,50
2023-07-22 11:56:40.000,0,45,50
2023-07-22 11:56:30.000,0,45,50
2023-07-22 11:56:20.000,0,45,50
2023-07-22 11:56:10.000,0,45,50
2023-07-22 11:56:00.000,0,45,50
2023-07-22 11:55:50.000,0,45,50
2023-07-22 11:55:40.000,0,45,50
2023-07-22 11:55:30.000,0,45,50
2023-07-22 11:55:20.000,0,45,50
2023-07-22 11:55:10.000,0,45,50
2023-07-22 11:55:00.000,0,45,50
2023-07-22 11:54:50.000,0,45,50
2023-07-22 11:54:40.000,0,45,50
2023-07-22 11:54:30.000,0,45,50
2023-07-22 11:54:20.000,0,45,50
2023-07-22 11:54:10.000,0,45,50
2023-07-22 11:54:00.000,0,45,50
2023-07-22 11:53:50.000,0,45,50
2023-07-22 11:53:40.000,0,45,50
2023-07-22 11:53:30.000,0,45,50
2023-07-22 11:53:20.000,0,44,49.9
2023-07-22 11:53:10.000,0,43,49.9
2023-07-22 11:53:00.000,0,41,50
2023-07-22 11:52:50.000,0,41,50
2023-07-22 11:52:40.000,0,40,50
2023-07-22 11:52:30.000,0,40,50
2023-07-22 11:52:20.000,0,40,50
2023-07-22 11:52:10.000,0,40,50
2023-07-22 11:52:00.000,0,40,50
2023-07-22 11:51:50.000,0,40,50
2023-07-22 11:51:40.000,0,40,50
2023-07-22 11:51:30.000,0,40,50
2023-07-22 11:51:20.000,0,40,50
2023-07-22 11:51:10.000,0,40,50
2023-07-22 11:51:00.000,0,40,50
2023-07-22 11:50:50.000,0,40,50
2023-07-22 11:50:40.000,0,40,50
2023-07-22 11:50:30.000,0,40,50
2023-07-22 11:50:20.000,0,40,50
2023-07-22 11:50:10.000,0,40,50
2023-07-22 11:50:00.000,0,40,50
2023-07-22 11:49:50.000,0,40,50
2023-07-22 11:49:40.000,0,40,50
2023-07-22 11:49:30.000,0,40,50
2023-07-22 11:49:20.000,0,40,50
2023-07-22 11:49:10.000,0,40,50
2023-07-22 11:49:00.000,0,40,50
2023-07-22 11:48:50.000,0,40,50
2023-07-22 11:48:40.000,0,40,50
